#Device
Key,Value
Model,OTS-815V
SerialNo,18L01700
ApplicationVersion,1.10.2.471
FirmwareVersion,1.1.2

#OutputSettings
Key,Value
NormalizeMode,None
NormalizeWavelength,True

#Configurations
Key,Value
ExposureTime,1999.8720
SamplingQuality,Low
DCCQuality,High

#Spectrum
Wavelength,Intensity
313.00,0.024071834171176764
314.00,0.024474309196413638
315.00,0.024752418924734683
316.00,0.02472858108461579
317.00,0.024650528997588905
318.00,0.024076132337843895
319.00,0.023355074821795031
320.00,0.023116758349734652
321.00,0.023486402757880678
322.00,0.02375497453016908
323.00,0.023490588004996472
324.00,0.023157665358345295
325.00,0.023308883516141757
326.00,0.023750702233509516
327.00,0.023663924913631097
328.00,0.022240405825347857
329.00,0.020832059930982253
330.00,0.020404821104573
331.00,0.02026748169607066
332.00,0.020009617434521523
333.00,0.019606614389058329
334.00,0.019211791828532616
335.00,0.0188572181368361
336.00,0.0185126648534469
337.00,0.018375389016206417
338.00,0.018348336666315732
339.00,0.018436860545593244
340.00,0.018774548569204103
341.00,0.019088075413861306
342.00,0.019105434087277738
343.00,0.019051724654268205
344.00,0.018879942780921768
345.00,0.018600304616601934
346.00,0.018323260407641762
347.00,0.018055306655304665
348.00,0.01778643029331782
349.00,0.017484659710696831
350.00,0.017170273276370523
351.00,0.016960609508768321
352.00,0.016905700530154034
353.00,0.016822092308158572
354.00,0.016574756000447818
355.00,0.016311557177772208
356.00,0.016499126588455149
357.00,0.016939987283779094
358.00,0.017300608892170017
359.00,0.017491165552814821
360.00,0.017669049797769131
361.00,0.017789146838310933
362.00,0.017895893219244518
363.00,0.017835537007530128
364.00,0.017646832693055961
365.00,0.01747042357637563
366.00,0.0173282146986792
367.00,0.017173031349616695
368.00,0.016846278711584162
369.00,0.016470913635591587
370.00,0.01622416810087636
371.00,0.016103504611166428
372.00,0.016012181416326956
373.00,0.016019809718628673
374.00,0.01603246528183323
375.00,0.015999672464880994
376.00,0.015951672808303161
377.00,0.01615165671171263
378.00,0.01663484417816595
379.00,0.017177598672228796
380.00,0.017943170104112997
381.00,0.018723703380300265
382.00,0.019395222539166063
383.00,0.020027416577643592
384.00,0.021056037090981947
385.00,0.022562043429883591
386.00,0.024254649046149782
387.00,0.026660090532711934
388.00,0.029194440052657037
389.00,0.032712457931898822
390.00,0.036581706311155787
391.00,0.041952882428477382
392.00,0.049052435229340309
393.00,0.05711473455393104
394.00,0.068603108922771688
395.00,0.08068219497048025
396.00,0.096780337233058553
397.00,0.11417337735333807
398.00,0.13608053692263342
399.00,0.16246590052910975
400.00,0.1913692796145183
401.00,0.22787607131363633
402.00,0.26563413778578432
403.00,0.31101447490304379
404.00,0.358419043748937
405.00,0.406846768294957
406.00,0.456063253452777
407.00,0.50295421026283238
408.00,0.54438739021505544
409.00,0.58361148020933018
410.00,0.60881385094556517
411.00,0.63103244764387378
412.00,0.64089667182871268
413.00,0.64391410824852213
414.00,0.640892203976207
415.00,0.62791363063941263
416.00,0.61381836792616062
417.00,0.595308692475949
418.00,0.57627613154742385
419.00,0.55759404875850882
420.00,0.53904013081287716
421.00,0.52228418266429022
422.00,0.50735511636074193
423.00,0.49387935062392685
424.00,0.4844322341478316
425.00,0.47588340909840954
426.00,0.47260574460764354
427.00,0.47056658262857848
428.00,0.47375847762878659
429.00,0.47988975709368575
430.00,0.48938992833761152
431.00,0.50410368979018849
432.00,0.52038339427920988
433.00,0.54257554115373918
434.00,0.56572993324734044
435.00,0.59324942040604645
436.00,0.62206478650791952
437.00,0.653337017300512
438.00,0.68639577075382685
439.00,0.72012508013075538
440.00,0.7551284394419171
441.00,0.79011247208538271
442.00,0.82486498941598829
443.00,0.859296193347309
444.00,0.88948702084005249
445.00,0.91825871319501418
446.00,0.94053584824435588
447.00,0.957750610362927
448.00,0.97295964497354215
449.00,0.9842786130420742
450.00,0.99372060481150215
451.00,0.995187358059737
452.00,0.99520392836701
453.00,0.98901707983341081
454.00,0.9809195947647078
455.00,0.96981222011843049
456.00,0.95664611165025693
457.00,0.94130641765304024
458.00,0.9224330889274357
459.00,0.90286515784609911
460.00,0.88100421045820509
461.00,0.85893250016225831
462.00,0.83678883202082854
463.00,0.81469444058991347
464.00,0.79487352651327337
465.00,0.77617386527159993
466.00,0.76090303152957139
467.00,0.7493858038750838
468.00,0.73958254907203613
469.00,0.73378374004683211
470.00,0.72910016889705354
471.00,0.72905917654595742
472.00,0.73011480766095782
473.00,0.73691368984058414
474.00,0.74538519522551838
475.00,0.75309769326924858
476.00,0.76036403045404555
477.00,0.76652900963392512
478.00,0.77133249930396075
479.00,0.7759271363627408
480.00,0.78001865962980887
481.00,0.7837747393373391
482.00,0.78603253938217943
483.00,0.78803947820003706
484.00,0.78945905797182592
485.00,0.79069503394260388
486.00,0.79100440887032675
487.00,0.79084246957964088
488.00,0.7895720964577
489.00,0.78722373939759238
490.00,0.78416207897600554
491.00,0.77977279833364777
492.00,0.77549400029169813
493.00,0.77168544760143687
494.00,0.76805940109001336
495.00,0.76533645656913341
496.00,0.762911579687902
497.00,0.76240254736125079
498.00,0.76252057251367522
499.00,0.76368973941485829
500.00,0.76543350872000526
501.00,0.76768748580984625
502.00,0.77043374690893018
503.00,0.7741136275803705
504.00,0.7793817787043209
505.00,0.78524213295005274
506.00,0.79269788871314506
507.00,0.80058483903937949
508.00,0.81004852188425525
509.00,0.81985947827106487
510.00,0.83088027984968271
511.00,0.84221430418056631
512.00,0.854276401830588
513.00,0.86660110283369751
514.00,0.87892380566166151
515.00,0.89124478142800312
