#Device
Key,Value
Model,OTS-815V
SerialNo,18L01700
ApplicationVersion,1.10.2.471
FirmwareVersion,1.1.2

#OutputSettings
Key,Value
NormalizeMode,None
NormalizeWavelength,False

#Configurations
Key,Value
ExposureTime,1999.8720
SamplingQuality,Low
DCCQuality,High

#Spectrum
Wavelength,Intensity
312.34,0.023805798179495189
314.75,0.024775360515290817
317.16,0.024685425938905204
319.56,0.022951282612807669
321.96,0.023843892743686396
324.36,0.023027003174461137
326.76,0.024086484458709007
329.16,0.020520872904757483
331.55,0.020192219700211376
333.94,0.019227906822134964
336.33,0.018393595247682849
338.71,0.01832904834084367
341.10,0.019153933379058838
343.48,0.019026193540861051
345.86,0.01836121398610847
348.23,0.017726422878693762
350.60,0.01698038387003744
352.98,0.016853539888043494
355.34,0.016209481111627327
357.71,0.017252116656068454
360.07,0.017689324506696687
362.43,0.017942909762465931
364.79,0.017498133693250321
367.14,0.017167969310234659
369.50,0.016285103163179871
371.84,0.016001664625851248
374.19,0.016038504187052469
376.53,0.015926040991690593
378.88,0.01705790201456836
381.21,0.018897685830884258
383.55,0.020373858910729282
385.88,0.023889722879866293
388.21,0.029655751712285742
390.54,0.038655623442437524
392.86,0.055159851989406254
395.18,0.082518059081869488
397.50,0.12283508439218205
399.81,0.18389081577756886
402.12,0.26949175079389
404.43,0.37889180472531603
406.74,0.49238501949924812
409.04,0.58724195879226671
411.34,0.63890214635521858
413.64,0.64583018037510109
415.93,0.615733001954637
418.22,0.57212176650993873
420.50,0.52968895616827838
422.79,0.49560596400209833
425.07,0.47460340500149811
427.34,0.469730227020348
429.62,0.48367275652352859
431.89,0.51720726014993357
434.15,0.56885553036972158
436.42,0.63403070528377581
438.68,0.70874348808826737
440.93,0.7878151158867468
443.19,0.8660469481841977
445.44,0.93080950764736325
447.68,0.96949107812779267
449.92,0.99464559503053851
452.16,0.99577292534873141
454.40,0.977725051307803
456.63,0.9483382972068396
458.86,0.90617846956147
461.08,0.8570875611436225
463.31,0.80786979107623635
465.52,0.76639394244220416
467.74,0.74089900758262051
469.95,0.72844869780107457
472.15,0.72972763048028788
474.36,0.74841817212223938
476.56,0.76439684759160775
478.75,0.774937118290796
480.94,0.7838511751953412
483.13,0.78836235179345293
485.31,0.79111546247571352
487.49,0.79076271348717453
489.67,0.78565034016732027
491.84,0.77605182824045071
494.01,0.76787711906481859
496.17,0.76232359013485629
498.34,0.76253015982763916
500.49,0.76628963891041246
502.64,0.77220233905674029
504.79,0.78357507973742091
506.94,0.79977410726467946
509.08,0.82045825334736278
511.21,0.844576832555332
513.35,0.870865499981153
515.47,0.89708579736360339
517.60,0.91953319467022887
519.72,0.93678573292643952
521.83,0.95013504855576936
523.95,0.95185402893361637
526.05,0.94479057035564573
528.16,0.93302470540814308
530.25,0.91665653613317244
532.35,0.896735389966907
534.44,0.87686810521781589
536.53,0.861606624183247
538.61,0.85287863635743277
540.69,0.85239429513453047
542.76,0.8545973278706438
544.83,0.8556062380008983
546.89,0.85233540008162145
548.95,0.84470245453144355
551.01,0.8292082300212178
553.06,0.812024540118292
555.10,0.79507063221976837
557.15,0.78051008476861394
559.18,0.76854241285900227
561.22,0.75936400474553178
563.25,0.75191863154621164
565.27,0.74490279638606349
567.29,0.73617984505235456
569.31,0.72666595757011665
571.32,0.71457376940677675
573.32,0.70272489283134254
575.32,0.69317322352153388
577.32,0.687015969170375
579.31,0.6866349360435261
581.30,0.69194929780469838
583.28,0.70286808355120867
585.26,0.715460288752842
587.24,0.73102886244654774
589.20,0.74368569890810521
591.17,0.751948951790724
593.13,0.755121780278848
595.08,0.75500612302216807
597.03,0.75090213692336494
598.98,0.74748807924422367
600.92,0.74467874790930721
602.85,0.74455163769644306
604.79,0.74795232603504047
606.71,0.75522169397043393
608.63,0.76501038517687081
610.55,0.77435679541351787
612.46,0.78100646807242868
614.37,0.78273469042009569
616.27,0.77872645726048462
618.17,0.76839169313027289
620.06,0.7532625300148702
621.95,0.73613892616194965
623.83,0.71770449191148233
625.71,0.70209656990480152
627.58,0.68938270712495264
629.45,0.6816179840849752
631.31,0.67909267306993848
633.17,0.68042191019964515
635.02,0.68254838831010545
636.87,0.68628025419681771
638.71,0.68694101524418782
640.55,0.68460293328123545
642.38,0.67848107846830963
644.21,0.66754574363427022
646.03,0.65354581934413192
647.85,0.63630903498294511
649.66,0.61852370024003467
651.47,0.60183480877377793
653.27,0.589028325929253
655.07,0.58110818249402807
656.86,0.57622787427676492
658.65,0.57271781013662271
660.43,0.56748813494386674
662.21,0.561447198972437
663.98,0.55238095479596172
665.75,0.54380076495103613
667.51,0.532022785748539
669.27,0.52057085199931674
671.02,0.51072333632890221
672.77,0.50177470313066508
674.51,0.494166513056041
676.25,0.48595115719005055
677.98,0.47753661885195586
679.71,0.46761576588780535
681.43,0.45670150084550221
683.15,0.44609219754975887
684.86,0.43581575766787756
686.56,0.42579174174097556
688.26,0.41854667193202466
689.96,0.411843930234389
691.65,0.40249739685575914
693.34,0.39198915193795342
695.02,0.37907915570249007
696.70,0.3641561346938425
698.37,0.34632418027682588
700.03,0.32846332123716465
701.69,0.31136343096056046
703.35,0.29706053500604934
705.00,0.28299916490540794
706.64,0.27026721553840605
708.29,0.2602868282866268
709.92,0.25047867143571484
711.55,0.24268592757184854
713.18,0.23517454899547963
714.80,0.22902336664693573
716.41,0.22099489204054024
718.02,0.21521978133297728
719.63,0.20781887020111017
721.23,0.19907381446168604
722.82,0.19127639525364415
724.41,0.1834080978691891
726.00,0.17551177384844455
727.58,0.16836144261992125
