#Device
Key,Value
Model,OTS-815V
SerialNo,18L01700
ApplicationVersion,1.10.2.471
FirmwareVersion,1.1.2

#OutputSettings
Key,Value
NormalizeMode,Peek
NormalizeWavelength,False

#Configurations
Key,Value
ExposureTime,1999.8720
SamplingQuality,Low
DCCQuality,High

#Spectrum
Wavelength,Intensity
312.34,0.023906854237032118
314.75,0.024880532383037217
317.16,0.024790216032696485
319.56,0.023048711235816997
321.96,0.023945110513359239
324.36,0.023124753232667786
326.76,0.024188732034739379
329.16,0.020607984393199715
331.55,0.020277936049666968
333.94,0.019309529645427065
336.33,0.018471676402771441
338.71,0.018406855493108151
341.10,0.019235242183704586
343.48,0.019106960087509763
345.86,0.018439157682137376
348.23,0.01780167187462519
350.60,0.017052465916454505
352.98,0.016925083479389827
355.34,0.016278290661448317
357.71,0.017325352213233312
360.07,0.017764416019346654
362.43,0.018019077749259059
364.79,0.0175724135973292
367.14,0.01724084766034609
369.50,0.016354233730020963
371.84,0.016069591990811833
374.19,0.01610658793663786
376.53,0.015993647332912878
378.88,0.017130313126955607
381.21,0.018977906859905903
383.55,0.020460346322023284
385.88,0.023991135199322507
388.21,0.029781640931741488
390.54,0.038819717285343815
392.86,0.055394006590497147
395.18,0.082868349782628081
397.50,0.12335652161778123
399.81,0.18467143572232406
402.12,0.27063574830527831
404.43,0.38050020750727243
406.74,0.49447520309593573
409.04,0.58973481186647814
411.34,0.64161429788971969
413.64,0.64857174154330788
415.93,0.618346800038774
418.22,0.57455043408573792
420.50,0.531937495672294
422.79,0.49770982056831
425.07,0.47661810531280147
427.34,0.47172424060017787
429.62,0.48572595640129568
431.89,0.51940281462141724
434.15,0.57127033271215089
436.42,0.63672217746001747
438.68,0.71175211742180777
440.93,0.79115940575593036
443.19,0.86972333364145016
445.44,0.93476081137813893
447.68,0.97360658584713522
449.92,0.998867884143568
452.16,1
454.40,0.98187551239695747
456.63,0.95236401097641832
458.86,0.91002521407590542
461.08,0.86072591383568731
463.31,0.81129921341586064
465.52,0.76964729903035267
467.74,0.74404413769650235
469.95,0.7315409761175854
472.15,0.73282533788988946
474.36,0.751595221229915
476.56,0.76764172647484563
478.75,0.77822674081985488
480.94,0.78717863806231447
483.13,0.791708964689273
485.31,0.79447376237775846
487.49,0.79411951596318009
489.67,0.78898544052317576
491.84,0.77934618273404865
494.01,0.77113677176540918
496.17,0.765559668001499
498.34,0.76576711458648272
500.49,0.76954255272812189
502.64,0.77548035239691415
504.79,0.78690137057402287
506.94,0.80316916327544163
509.08,0.8239411139442544
511.21,0.84816207697106361
513.35,0.87456234028070767
515.47,0.90089394331487094
517.60,0.92343663024197764
519.72,0.94076240584505355
521.83,0.95416838956835548
523.95,0.955894667049986
526.05,0.94880122395853339
528.16,0.93698541269475344
530.25,0.92054776023574691
532.35,0.9005420484322364
534.44,0.88059042668862109
536.53,0.86526416038224985
538.61,0.85649912208523293
540.69,0.85601272482480062
542.76,0.858225109475992
544.83,0.85923830244857757
546.89,0.85595357976129294
548.95,0.84828823221480809
551.01,0.83272823443238242
553.06,0.81547159944513581
555.10,0.79844572189118834
557.15,0.78382336464437419
559.18,0.771804889744165
561.22,0.76258751911696476
563.25,0.75511054016946766
565.27,0.74806492265813485
567.29,0.73930494223322618
569.31,0.72975066812107747
571.32,0.71760714839331918
573.32,0.705707973115698
575.32,0.69611575679141546
577.32,0.68993236478062892
579.31,0.68954971416104571
581.30,0.69488663548707108
583.28,0.70585177168284219
585.26,0.71849743103055275
587.24,0.73413209361012977
589.20,0.746842658578669
591.17,0.75514098912398375
593.13,0.75832728632825142
595.08,0.75821113810435847
597.03,0.75408973050797712
598.98,0.75066118009027449
600.92,0.74783992309141356
602.85,0.74771227329332357
604.79,0.75112739761738212
606.71,0.75842762415532272
608.63,0.76825786853860789
610.55,0.77764395446113266
612.46,0.78432185510457708
614.37,0.78605741378836225
616.27,0.78203216560418665
618.17,0.77165353020737437
620.06,0.75646014351220558
621.95,0.73926384964136782
623.83,0.720751160873483
625.71,0.70507698294660792
627.58,0.692309149581992
629.45,0.68451146514780414
631.31,0.6819754341403812
633.17,0.68331031390650965
635.02,0.68544581895623324
636.87,0.68919352668327893
638.71,0.68985709267362627
640.55,0.68750908550910772
642.38,0.68136124330825476
644.21,0.6703794877737691
646.03,0.65632013354375185
647.85,0.63901017871127819
649.66,0.62114934489047313
651.47,0.60438960876849335
653.27,0.59152876216529826
655.07,0.5835749975733846
656.86,0.57867397235666262
658.65,0.57514900792874046
660.43,0.56989713266719488
662.21,0.56383055280983008
663.98,0.554725822257631
665.75,0.54610920934668983
667.51,0.53428123240267678
669.27,0.52278068498097263
671.02,0.51289136642276234
672.77,0.5039047461095989
674.51,0.4962642591261236
676.25,0.48801402892116663
677.98,0.4795637707107942
679.71,0.46960080354066741
681.43,0.45864020723957716
683.15,0.44798586725335204
684.86,0.43766580369239277
686.56,0.42759923563081237
688.26,0.42032341036531462
689.96,0.41359221540408558
691.65,0.40420600581683797
693.34,0.39365315320325078
695.02,0.38068835379284094
696.70,0.36570198428151751
698.37,0.34779433288521983
700.03,0.329857654165615
701.69,0.31268517453566769
703.35,0.2983215625209083
705.00,0.28420050164177568
706.64,0.27141450491210661
708.29,0.26139175073018911
709.92,0.25154195807040469
711.55,0.24371613386340771
713.18,0.23617286934480439
714.80,0.22999557511239727
716.41,0.22193301948146982
718.02,0.21613339332117787
719.63,0.20870106518343981
721.23,0.19991888651920117
722.82,0.19208836712110533
724.41,0.18418666866741473
726.00,0.17625682460384051
727.58,0.16907614008581232
