#Device
Key,Value
Model,OTS-815V
SerialNo,18L01700
ApplicationVersion,1.10.2.471
FirmwareVersion,1.1.2

#OutputSettings
Key,Value
NormalizeMode,Peek
NormalizeWavelength,True

#Configurations
Key,Value
ExposureTime,1999.8720
SamplingQuality,Low
DCCQuality,High

#Spectrum
Wavelength,Intensity
313.00,0.024187840788244541
314.00,0.024592255415000763
315.00,0.024871705405494052
316.00,0.024847752686418669
317.00,0.024769324451961283
318.00,0.024192159668571092
319.00,0.023467627243109291
320.00,0.023228162279931918
321.00,0.023599588072786819
322.00,0.02386945414207484
323.00,0.023603793489381849
324.00,0.0232692664269762
325.00,0.023421213333018449
326.00,0.0238651612564282
327.00,0.023777965740609842
328.00,0.022347586450790283
329.00,0.020932453477313675
330.00,0.020503155708051165
331.00,0.020365154435560508
332.00,0.020106047478484632
333.00,0.019701102286875043
334.00,0.019304377003471512
335.00,0.01894809455563359
336.00,0.018601880806302273
337.00,0.018463943411435136
338.00,0.01843676069127136
339.00,0.0185257111834813
340.00,0.018865026588078791
341.00,0.019180064376536535
342.00,0.01919750670460784
343.00,0.019143538435915753
344.00,0.018970928713978357
345.00,0.018689942921670762
346.00,0.018411563585473033
347.00,0.018142318514488675
348.00,0.017872146387628168
349.00,0.017568921516805811
350.00,0.0172530199961575
351.00,0.017042345820115778
352.00,0.016987172224987013
353.00,0.016903161079519915
354.00,0.016654632812437415
355.00,0.01639016558599923
356.00,0.016578638928332914
357.00,0.017021624212813582
358.00,0.01738398372337405
359.00,0.017575458711779172
360.00,0.017754200213780866
361.00,0.01787487602415359
362.00,0.017982136835622393
363.00,0.017921489756170618
364.00,0.017731876040734625
365.00,0.017554616775922644
366.00,0.017411722567366041
367.00,0.017255791361068307
368.00,0.016927464041692989
369.00,0.016550290012036076
370.00,0.016302355364993321
371.00,0.016181110375629262
372.00,0.016089347077438386
373.00,0.016097012141938517
374.00,0.016109728694640765
375.00,0.016076777843043902
376.00,0.01602854686725123
377.00,0.016229494530045949
378.00,0.016715010566187568
379.00,0.017260380694452061
380.00,0.018029641556535275
381.00,0.01881393636681402
382.00,0.019488691700595379
383.00,0.020123932398966485
384.00,0.021157510024635805
385.00,0.022670774086377188
386.00,0.024371536681882133
387.00,0.026788570435465831
388.00,0.029335133454066058
389.00,0.032870105311556978
390.00,0.036758000313745987
391.00,0.042155061121308242
392.00,0.049288827979033875
393.00,0.057389981013889577
394.00,0.068933719981732547
395.00,0.081071017377180574
396.00,0.097246739562072984
397.00,0.11472359995672499
398.00,0.13673633417617481
399.00,0.16324885372558115
400.00,0.19229152353581283
401.00,0.2289742482101623
402.00,0.26691427778189408
403.00,0.31251331112948366
404.00,0.360146331352462
405.00,0.40880743805195324
406.00,0.45826110654638663
407.00,0.50537803954221672
408.00,0.54701089364500277
409.00,0.58642401177711856
410.00,0.61174783739503857
411.00,0.63407350961657638
412.00,0.6439852713205565
413.00,0.64701724932406057
414.00,0.6439807819366441
415.00,0.63093966245664934
416.00,0.61677647206774033
417.00,0.59817759507116
418.00,0.57905331271452287
419.00,0.560281197516415
420.00,0.54163786481165344
421.00,0.524801166652633
422.00,0.50980015441984883
423.00,0.49625944647778214
424.00,0.48676680260167066
425.00,0.47817677918461127
426.00,0.4748833190229898
427.00,0.47283432994553415
428.00,0.47604160727757355
429.00,0.48220243451120359
430.00,0.49174838883587579
431.00,0.5065330586238258
432.00,0.52289121801708116
433.00,0.54519031294825127
434.00,0.56845629033601575
435.00,0.59610839898862289
436.00,0.62506263166448772
437.00,0.65648556911601641
438.00,0.68970363881109875
439.00,0.72359549596270145
440.00,0.7587675429306
441.00,0.79392017009201976
442.00,0.82884016622550516
443.00,0.8634373004910596
444.00,0.89377362316040676
445.00,0.9226839716175036
446.00,0.945068464297205
447.00,0.96236618753551484
448.00,0.9776485172943723
449.00,0.98902203356164131
450.00,0.998509528034177
451.00,0.99998334983735437
452.00,1
453.00,0.99378333590005929
454.00,0.98564682755448851
455.00,0.97448592441727633
456.00,0.96125636603944964
457.00,0.94584274722226214
458.00,0.92687846443795574
459.00,0.90721623188081069
460.00,0.88524993254780393
461.00,0.86307185460134384
462.00,0.84082147203124646
463.00,0.81862060364523759
464.00,0.79870416892098617
465.00,0.77991439055630762
466.00,0.76456996384460274
467.00,0.75299723254179751
468.00,0.74314673404232567
469.00,0.73731997948487626
470.00,0.732613837340257
471.00,0.73257264743944617
472.00,0.733633365835858
473.00,0.74046501308506285
474.00,0.7489773442198836
475.00,0.75672701021686706
476.00,0.76402836522329276
477.00,0.770223054577057
478.00,0.77504969315144179
479.00,0.77966647261524413
480.00,0.78377771368900229
481.00,0.78755189463872333
482.00,0.78982057543919515
483.00,0.79183718606607534
484.00,0.79326360705510623
485.00,0.79450553942248137
486.00,0.79481640528515
487.00,0.79465368557909766
488.00,0.79337719029433185
489.00,0.7910175160676024
490.00,0.78794110093868441
491.00,0.78353066754182288
492.00,0.77923124918143649
493.00,0.7754043423719843
494.00,0.77176082127237067
495.00,0.769024754378676
496.00,0.76658819156766489
497.00,0.7660767061201682
498.00,0.76619530005761161
499.00,0.76737010139014006
500.00,0.769122274241797
501.00,0.77138711366374291
502.00,0.77414660950254066
503.00,0.77784422419893617
504.00,0.78313776351664632
505.00,0.78902635989241432
506.00,0.79651804632026646
507.00,0.80444300531754021
508.00,0.81395229539882463
509.00,0.82381053259741355
510.00,0.83488444545535567
511.00,0.84627309054388644
512.00,0.85839331767141991
513.00,0.87077741368612582
514.00,0.883159501896111
515.00,0.89553985472144448
516.00,0.90699481652870262
